SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
YESBANK,360.25,323.6,352.4,367.2333333,382.0666667,345.4166667,330.5833333,308.7666667,2.021712907,SKIP,62364794,21280346760,353.4,344.4166667
PCJEWELLER,252.7,207.75,236.9,257.15,277.4,232.45,212.2,187.5,1.914390191,SKIP,57625134,13400407422,237.9,231.45
IBREALEST,224,202,203.85,217.9,231.95,209.95,195.9,187.95,-2.905453679,SKIP,34780519,7460208060,204.85,208.95
SBIN,238.8,232.5,233.2,237.1666667,241.1333333,234.8333333,230.8666667,228.5333333,-0.695528744,SELL,24495144,5749736202,234.2,233.8333333
ASHOKLEY,166.35,161.25,162.65,165.5833333,168.5166667,163.4166667,160.4833333,158.3166667,-0.469148394,SKIP,21816930,3565609389,163.65,162.4166667
ITC,279.1,273,278.25,280.5666667,282.8833333,276.7833333,274.4666667,270.6833333,0.529897031,SKIP,20282977,5625453401,279.25,275.7833333
TATAMOTORS,335.95,326,330.25,335.4666667,340.6833333,330.7333333,325.5166667,320.7833333,-0.146139891,SKIP,16647689,5512814536,331.25,329.7333333
HINDALCO,238.7,231.45,234,237.9833333,241.9666667,234.7166667,230.7333333,227.4666667,-0.305332671,SKIP,16400986,3864387864,235,233.7166667
DHFL,634.9,613.5,621.45,633.0666667,644.6833333,623.2833333,611.6666667,601.8833333,-0.294141241,SKIP,15995644,9999338277,622.45,622.2833333
AXISBANK,501.05,483.3,493.75,502.1,510.45,492.7,484.35,474.95,0.213111427,SKIP,14919977,7348545171,494.75,491.7
ICICIBANK,280.4,275.35,278.85,281.05,283.25,278.2,276,273.15,0.23364486,SKIP,14112673,3922515817,279.85,277.2
HINDPETRO,297.9,290.05,296.35,299.4833333,302.6166667,294.7666667,291.6333333,286.9166667,0.537148027,SKIP,14002507,4125919253,297.35,293.7666667
BHARTIARTL,420,405.45,409.2,417.65,426.1,411.55,403.1,397,-0.571012028,SKIP,12504161,5147761764,410.2,410.55
VEDL,293.75,287.6,290.3,293.5,296.7,290.55,287.35,284.4,-0.08604371,SKIP,11827702,3433452430,291.3,289.55
IOC,161.9,158.25,161.15,162.6166667,164.0833333,160.4333333,158.9666667,156.7833333,0.446706836,SKIP,9718844,1556507546,162.15,159.4333333
WIPRO,283,274,281.35,284.9,288.45,279.45,275.9,270.45,0.67990696,BUY,9581301,2671373641,282.35,278.45
DLF,222.75,217.6,219.1,222.0333333,224.9666667,219.8166667,216.8833333,214.6666667,-0.326029267,SKIP,8340355,1837138042,220.1,218.8166667
BANKBARODA,138.2,135.25,137.35,138.6166667,139.8833333,136.9333333,135.6666667,133.9833333,0.304284323,SKIP,8328731,1137129378,138.35,135.9333333
IBVENTURES,487.35,435.65,456,483.6833333,511.3666667,459.6666667,431.9833333,407.9666667,-0.797679478,SELL,7505708,3441176181,457,458.6666667
PETRONET,230.2,219.7,227.95,232.2,236.45,225.95,221.7,215.45,0.885151582,BUY,7470089,1677830926,228.95,224.95
TATASTEEL,591.55,576.7,578.2,587.6,597,582.15,572.75,567.3,-0.678519282,SELL,7463062,4338925212,579.2,581.15
JISLJALEQS,116.45,112.3,115.15,116.9666667,118.7833333,114.6333333,112.8166667,110.4833333,0.450712416,SKIP,7193032,824560926.1,116.15,113.6333333
M&MFIN,533.05,508,512.4,527.6333333,542.8666667,517.8166667,502.5833333,492.7666667,-1.046058772,SELL,7000127,3615420022,513.4,516.8166667
ONGC,181.8,177.3,180.8,182.6333333,184.4666667,179.9666667,178.1333333,175.4666667,0.463048713,SKIP,6742459,1213117180,181.8,178.9666667
INFRATEL,327,310.5,316.1,325.2333333,334.3666667,317.8666667,308.7333333,301.3666667,-0.555788591,SKIP,6209388,1956763933,317.1,316.8666667
GATI,126.85,116.4,119.05,125.1333333,131.2166667,120.7666667,114.6833333,110.3166667,-1.421473917,SELL,5763712,699342039.5,120.05,119.7666667
INFIBEAM,170.45,166.5,167.25,169.6333333,172.0166667,168.0666667,165.6833333,164.1166667,-0.485918286,SKIP,5566456,935948081.6,168.25,167.0666667
NMDC,126,122.65,123.35,125.35,127.35,124,122,120.65,-0.524193548,SKIP,5537788,683730765,124.35,123
BEL,133.45,130.6,131.05,132.8,134.55,131.7,129.95,128.85,-0.493545938,SKIP,5249529,689900396.9,132.05,130.7
CANBK,255.7,250.4,253.65,256.1,258.55,253.25,250.8,247.95,0.157946693,SKIP,5202986,1316467856,254.65,252.25
TATAGLOBAL,293.65,288.75,291.2,293.65,296.1,291.2,288.75,286.3,0,SKIP,4942803,1440134982,292.2,290.2
LICHSGFIN,550.55,542.8,545.15,549.5333333,553.9166667,546.1666667,541.7833333,538.4166667,-0.186145865,SKIP,4710571,2580677499,546.15,545.1666667
JSWSTEEL,330.4,321.25,327.7,331.65,335.6,326.45,322.5,317.3,0.38290703,SKIP,4602880,1501946869,328.7,325.45
POWERGRID,208.7,206.2,207,208.4,209.8,207.3,205.9,204.8,-0.1447178,SKIP,4471983,926566154.9,208,206.3
NTPC,173.85,169.55,172,174.05,176.1,171.8,169.75,167.5,0.116414435,SKIP,4456282,763132284.5,173,170.8
