SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
5PAISA,509.85,478.0,480.9,501.16666666666663,521.4333333333334,489.5833333333333,469.3166666666666,457.7333333333333,-1.7736170212765967,SKIP,43567,21560528.85,481.9,488.5833333333333
8KMILES,706.7,686.7,693.2,704.3666666666668,715.5333333333334,695.5333333333334,684.3666666666668,675.5333333333334,-0.3354739768043762,SKIP,132620,92336656.1,694.2,694.5333333333334
AARTIDRUGS,580.0,556.0,572.7,583.1333333333334,593.5666666666667,569.5666666666667,559.1333333333334,545.5666666666667,0.5501258266518392,SKIP,6370,3630753.9,573.7,568.5666666666667
ABAN,172.5,166.2,166.75,170.76666666666665,174.78333333333333,168.48333333333332,164.46666666666664,162.1833333333333,-1.0287862300919894,SELL,655687,110916680.9,167.75,167.48333333333332
ABCAPITAL,166.0,158.35,160.4,164.8166666666667,169.23333333333335,161.58333333333334,157.16666666666669,153.93333333333334,-0.732336255801962,SELL,10403637,1691727359.8,161.4,160.58333333333334
ABFRL,144.5,140.05,142.05,144.35000000000002,146.65,142.20000000000002,139.90000000000003,137.75000000000003,-0.10548523206751453,SKIP,1377228,193447186.15,143.05,141.20000000000002
ACE,189.8,184.1,185.45,188.79999999999993,192.14999999999998,186.44999999999996,183.0999999999999,180.74999999999994,-0.5363368195226451,SKIP,843355,157657005.0,186.45,185.44999999999996
ADANIENT,133.5,125.8,131.45,134.7,137.95,130.25,127.0,122.55,0.921305182341642,BUY,4625620,595640241.1,132.45,129.25
ADANIPORTS,415.65,410.1,412.8,415.5999999999999,418.3999999999999,412.84999999999997,410.04999999999995,407.3,-0.012110936175355342,SKIP,1945992,803725798.55,413.8,411.84999999999997
ADANITRANS,167.7,163.1,165.85,167.99999999999997,170.14999999999998,165.54999999999998,163.39999999999998,160.95,0.18121413470251369,SKIP,756227,124993405.75,166.85,164.54999999999998
ADFFOODS,239.8,232.25,236.35,240.01666666666665,243.68333333333334,236.13333333333333,232.46666666666664,228.58333333333331,0.09175607001694039,SKIP,57445,13560650.7,237.35,235.13333333333333
ADORWELD,386.95,381.0,382.8,386.16666666666663,389.5333333333333,383.5833333333333,380.21666666666664,377.6333333333333,-0.20421464262436753,SKIP,3813,1463703.35,383.8,382.5833333333333
ADVENZYMES,253.9,247.0,248.3,252.4666666666667,256.6333333333333,249.73333333333335,245.5666666666667,242.83333333333334,-0.5739455419113736,SKIP,122848,30809497.5,249.3,248.73333333333335
AEGISCHEM,299.0,288.9,295.6,300.1,304.6,294.5,290.0,284.4,0.3735144312393965,SKIP,119249,34929146.9,296.6,293.5
AGARIND,290.0,281.0,284.35,289.23333333333335,294.1166666666667,285.1166666666667,280.23333333333335,276.1166666666667,-0.2688957736599,SKIP,3790,1089700.0,285.35,284.1166666666667
AGCNET,126.5,120.6,122.25,125.63333333333335,129.01666666666668,123.11666666666667,119.73333333333335,117.21666666666667,-0.7039393529172933,SELL,6910,850673.15,123.25,122.11666666666667
AGLSL,103.0,99.95,101.0,102.68333333333332,104.36666666666666,101.31666666666666,99.63333333333333,98.26666666666667,-0.31255140648132546,SKIP,32136,3232569.8,102.0,100.31666666666666
AGRITECH,132.5,127.45,128.5,131.51666666666665,134.5333333333333,129.48333333333332,126.46666666666664,124.43333333333332,-0.7594284978761644,SELL,15930,2061505.3,129.5,128.48333333333332
AHLEAST,366.0,354.95,360.0,365.68333333333334,371.3666666666667,360.31666666666666,354.6333333333333,349.26666666666665,-0.08788565613580542,SKIP,2924,1059359.1,361.0,359.31666666666666
AHLUCONT,443.0,421.2,422.0,436.2666666666667,450.53333333333336,428.73333333333335,414.4666666666667,406.93333333333334,-1.5705178043850136,SKIP,74541,32387941.85,423.0,427.73333333333335
AHLWEST,325.45,301.0,313.65,325.73333333333335,337.81666666666666,313.3666666666667,301.28333333333336,288.9166666666667,0.09041591320071365,SKIP,375,115861.45,314.65,312.3666666666667
AIFL,486.15,475.5,479.7,485.4,491.09999999999997,480.45,474.75,469.8,-0.1561036528254761,SKIP,21906,10508713.0,480.7,479.45
AIRAN,249.0,247.15,248.0,248.94999999999996,249.89999999999998,248.04999999999998,247.09999999999997,246.2,-0.020157226365645212,SKIP,1500,372075.0,249.0,247.04999999999998
