,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,46.5,47.25,45.5,45.75,45.6,46.65,46701,2159067.0,08-MAY-2018,488,INE144J01027
1,21STCENMGM,EQ,42.1,42.1,42.1,42.1,42.1,42.95,883,37174.3,08-MAY-2018,10,INE253B01015
2,3IINFOTECH,EQ,4.55,4.55,4.45,4.5,4.55,4.5,1011674,4566826.0,08-MAY-2018,607,INE748C01020
3,3MINDIA,EQ,20515.05,20644.0,20450.5,20616.4,20600.0,20474.1,632,13002339.55,08-MAY-2018,273,INE470A01017
4,3PLAND,EQ,14.5,14.65,13.65,14.0,13.85,14.85,2002,27993.8,08-MAY-2018,36,INE105C01023
5,5PAISA,EQ,496.0,509.85,478.0,480.9,480.3,486.85,43567,21560528.85,08-MAY-2018,1177,INE618L01018
6,63MOONS,EQ,85.0,88.0,83.4,85.0,84.9,85.5,154946,13194957.85,08-MAY-2018,2440,INE111B01023
7,8KMILES,EQ,698.95,706.7,686.7,693.2,695.0,698.65,132620,92336656.1,08-MAY-2018,5729,INE650K01021
8,A2ZINFRA,EQ,25.65,25.8,24.7,24.95,25.05,25.6,407380,10268531.3,08-MAY-2018,1997,INE619I01012
9,AAKASH,ST,56.05,58.0,56.05,58.0,0.0,58.0,6000,344100.0,08-MAY-2018,3,INE087Z01016
10,AARTIDRUGS,EQ,572.85,580.0,556.0,572.7,580.0,558.5,6370,3630753.9,08-MAY-2018,475,INE767A01016
11,AARTIIND,EQ,1324.0,1329.0,1307.0,1315.2,1313.95,1323.5,14723,19406015.25,08-MAY-2018,2708,INE769A01020
12,AARVEEDEN,EQ,43.75,44.9,43.15,43.45,44.2,43.8,26053,1132870.6,08-MAY-2018,98,INE273D01019
13,AARVI,SM,95.0,95.0,95.0,95.0,95.0,95.0,2000,190000.0,08-MAY-2018,1,INE754X01016
14,ABAN,EQ,171.8,172.5,166.2,166.75,166.5,169.25,655687,110916680.9,08-MAY-2018,7040,INE421A01028
15,ABB,EQ,1291.95,1306.0,1271.25,1281.1,1277.0,1284.9,182611,236344584.65,08-MAY-2018,7789,INE117A01022
16,ABBOTINDIA,EQ,6344.0,6344.0,6230.0,6284.6,6314.6,6272.9,1295,8139103.9,08-MAY-2018,344,INE358A01014
17,ABCAPITAL,EQ,158.9,166.0,158.35,160.4,160.1,157.9,10403637,1691727359.8,08-MAY-2018,65035,INE674K01013
18,ABFRL,EQ,143.55,144.5,140.05,142.05,142.0,143.5,1377228,193447186.15,08-MAY-2018,2188,INE647O01011
19,ABGSHIP,BZ,7.0,7.0,6.45,6.85,6.85,6.75,21085,139882.75,08-MAY-2018,63,INE067H01016
20,ABMINTLTD,BE,25.0,25.0,25.0,25.0,25.0,24.35,40,1000.0,08-MAY-2018,1,INE251C01017
21,ACC,EQ,1526.2,1531.0,1515.3,1518.65,1524.55,1523.5,199827,304271287.25,08-MAY-2018,8713,INE012A01025
22,ACCELYA,EQ,1320.15,1325.0,1300.0,1302.4,1303.0,1316.4,3497,4566166.8,08-MAY-2018,375,INE793A01012
23,ACE,EQ,186.6,189.8,184.1,185.45,185.15,185.55,843355,157657005.0,08-MAY-2018,8008,INE731H01025
24,ADANIENT,EQ,128.25,133.5,125.8,131.45,130.4,127.6,4625620,595640241.1,08-MAY-2018,26543,INE423A01024
25,ADANIPORTS,EQ,413.1,415.65,410.1,412.8,413.4,412.4,1945992,803725798.55,08-MAY-2018,38486,INE742F01042
26,ADANIPOWER,EQ,25.2,25.3,24.35,24.65,24.65,25.1,20725982,513490772.2,08-MAY-2018,19998,INE814H01011
27,ADANITRANS,EQ,167.7,167.7,163.1,165.85,165.3,165.65,756227,124993405.75,08-MAY-2018,9614,INE931S01010
28,ADFFOODS,EQ,232.25,239.8,232.25,236.35,237.0,232.3,57445,13560650.7,08-MAY-2018,2165,INE982B01019
29,ADHUNIK,EQ,3.35,3.45,3.2,3.35,3.35,3.35,78108,255668.45,08-MAY-2018,75,INE400H01019
30,ADHUNIKIND,EQ,75.6,78.0,73.2,77.65,76.95,76.55,19182,1487561.3,08-MAY-2018,105,INE452L01012
31,ADLABS,EQ,48.8,49.2,47.85,48.0,47.9,48.7,21840,1053702.85,08-MAY-2018,274,INE172N01012
32,ADORWELD,EQ,383.9,386.95,381.0,382.8,382.2,382.5,3813,1463703.35,08-MAY-2018,197,INE045A01017
33,ADROITINFO,EQ,30.15,30.5,28.3,29.3,29.3,30.15,8167,237678.25,08-MAY-2018,73,INE737B01033
34,ADSL,EQ,19.0,19.75,18.9,19.05,19.0,19.75,21235,405828.2,08-MAY-2018,123,INE102I01027
35,ADVANIHOTR,EQ,68.7,68.7,65.0,65.3,65.2,66.95,11901,784943.35,08-MAY-2018,159,INE199C01026
36,ADVENZYMES,EQ,251.65,253.9,247.0,248.3,248.0,249.75,122848,30809497.5,08-MAY-2018,3518,INE837H01020
37,AEGISCHEM,EQ,291.25,299.0,288.9,295.6,295.7,291.3,119249,34929146.9,08-MAY-2018,1883,INE208C01025
38,AFL,EQ,61.6,62.8,59.15,59.25,59.25,61.55,13464,816747.4,08-MAY-2018,72,INE020G01017
39,AGARIND,BE,289.9,290.0,281.0,284.35,282.5,281.8,3790,1089700.0,08-MAY-2018,33,INE204E01012
40,AGCNET,EQ,126.5,126.5,120.6,122.25,121.05,127.4,6910,850673.15,08-MAY-2018,95,INE676A01019
41,AGLSL,EQ,100.85,103.0,99.95,101.0,100.5,102.0,32136,3232569.8,08-MAY-2018,290,INE517U01013
42,AGRITECH,EQ,130.5,132.5,127.45,128.5,128.45,128.2,15930,2061505.3,08-MAY-2018,352,INE449G01018
43,AGROPHOS,SM,39.9,40.8,39.9,40.55,40.35,39.4,30000,1212600.0,08-MAY-2018,5,INE740V01019
