,RQ_1_2_PAT_PChg,RQ_1_2_Operating_Profit_PChg,RQ_1_2_Total_Exp_PChg,RQ_1_2_Ebit_PChg,RQ_1_2_Ebitda_PChg,RQ_1_2_Close_PChg,RQ_2_3_PAT_PChg,RQ_2_3_Operating_Profit_PChg,RQ_2_3_Total_Exp_PChg,RQ_2_3_Ebit_PChg,RQ_2_3_Ebitda_PChg,RQ_2_3_Close_PChg,RQ_3_4_PAT_PChg,RQ_3_4_Operating_Profit_PChg,RQ_3_4_Total_Exp_PChg,RQ_3_4_Ebit_PChg,RQ_3_4_Ebitda_PChg,RQ_3_4_Close_PChg,RQ_4_5_PAT_PChg,RQ_4_5_Operating_Profit_PChg,RQ_4_5_Total_Exp_PChg,RQ_4_5_Ebit_PChg,RQ_4_5_Ebitda_PChg,RQ_4_5_Close_PChg
ELAND,-71.02925809822361,917.8571428571429,3.8799909767651677,-2275.0,-180.39215686274508,-31.623931623931618,130.88057901085648,-96.94656488549619,-5.700914699000212,-100.24937655860349,-105.82191780821917,-50.21276595744681,59.11708253358924,92.24318658280924,-22.143093739648897,244.94623655913972,113.13868613138685,45.061728395061735,-20.639756283320647,-19.69696969696971,16.249518675394697,-24.6353322528363,-26.998223801065713,-24.299065420560744
KDDL,-1.790281329923281,7.635829662261387,13.80290587492104,12.357723577235769,10.401002506265664,24.063065391574057,-7.125890736342039,1.1887072808320829,10.621942697414392,-10.480349344978162,-8.799999999999995,inf,22.7405247813411,-14.485387547649298,-9.773013871374522,4.407294832826748,4.290822407628122,-100.0,36.653386454183284,30.94841930116473,20.197044334975363,26.053639846743305,18.169014084507058,8.529565672422821
ERIS,21.91304347826086,16.488845780795334,16.82388647362808,13.622589531680443,10.215254448177172,-14.341981869334171,-22.213203463203467,-8.899267861651094,18.37071560345665,-8.816880180859094,-5.7022175290390695,0.679801095235095,-19.913326110509207,-16.977572835883464,-18.681405448085282,-18.60560212635452,-16.710642040457337,37.72865192891201,31.95139385275196,38.10971196989434,35.934313620264035,35.33480907581626,34.3089644310277,-4.082820555463156
UNIONBANK,-105.01436103089749,620.7591191899475,-46.698246056376185,4.546746853404786,177.24104423224261,-12.81914893617021,106.69520342441095,-79.75612014941498,48.49805921727406,5.99486073347893,-47.94974236518246,-34.857934857934865,-18.348881572070667,5.562109352086615,-2.572873837986568,-6.043136839769249,-4.049267841977064,13.936044216344259,-1413.0211013896037,-36.712129305562144,55.9683086337184,-1.5865385218833072,-31.570476999418833,-14.077340569877883
MAANALU,137.89473684210526,106.73076923076921,-5.279939979367904,68.49816849816848,61.46496815286624,-1.8313253012048245,-48.36956521739131,-36.96969696969696,6.897243107769419,-33.89830508474576,-31.441048034934493,-26.522662889518404,-7.9999999999999964,-19.315403422982886,5.644990468121159,-12.314225053078557,-10.894941634241238,49.18119387216057,22.699386503067494,23.564954682779447,-29.273408239700373,15.441176470588234,14.222222222222214,-44.713785046728965
SORILINFRA,-62.323561346362645,-57.41239892183289,-39.166666666666664,-59.38281901584654,-43.41183959261617,-100.0,25.81967213114755,20.846905537459282,24.634858812074004,27.2823779193206,19.7408536585366,-38.959810874704495,-252.18295218295216,-7775.0,-18.856992362391363,1993.3333333333333,218.44660194174756,136.13695571269074,-178.59477124183005,-101.29032258064514,36.28858578607323,-94.88636363636364,-66.82769726247987,4.51186308829248
ESTER,1068.7500000000002,58.64240727781668,5.039914848323575,83.63844393592677,43.15852923447861,8.123476848090984,-172.72727272727272,3.3261026753434493,2.509547190398251,20.718232044198896,10.6,69.55922865013775,371.4285714285714,-6.743088334457181,6.2362350759244345,-12.242424242424239,-5.956112852664573,-1.0899182561308056,-81.81818181818181,25.253378378378383,-8.345285524568398,18.70503597122302,12.80056577086279,-21.664887940234788
SOLARINDS,17.02280912364947,10.649350649350664,-3.7688674877303563,13.76470588235294,12.638758860505556,5.572972720041173,36.557377049180324,30.287648054145517,24.685371204248952,34.1222879684418,30.306727082607164,-9.456425030716446,26.871880199667224,22.869022869022867,24.576880663566186,23.71888726207908,19.94147157190635,30.36010162377114,-36.85316522195955,-29.13733835324931,-17.895524150690868,-30.928703859767403,-26.524343418829666,9.779906627053899
GESHIP,1632.6636904761906,-177.2445384073291,63.594633603861524,-292.346590132568,-107.31631543519909,-14.627498485766205,-124.42748091603055,-20.655334377096846,4.203856205927317,-46.3090695626651,-28.83935151068533,-17.31563791160637,18.936446173800274,29.933158965417046,30.99282992054776,6.6270244894765655,9.285656760892316,3.485358901269771,-36.06081548030408,-9.256329113924064,-1.124097847608093,-19.174097261746663,-9.368271230976967,-5.020920502092059
MEGH,617.8902953586497,113.59139784946235,1.1558219178082298,107.17147435897436,75.43810848400555,-2.6112759643916945,-30.823117338003502,-50.990725126475546,-1.1197906645630604,-32.321041214750544,-25.30646166632038,-20.89201877934272,-40.52083333333334,-13.682678311499277,-9.92062116537835,-29.79249952408147,-23.493880146240652,34.04657016991818,50.39164490861621,20.65861690450056,10.325442655550882,30.2827380952381,25.069582504970178,57.79543197616683
GEECEE,-55.86370839936608,-35.070306038047974,-83.39973439575033,-34.318555008210176,-33.38658146964856,9.589597724502234,145.04854368932035,195.59902200489,333.03514376996804,197.07317073170734,181.34831460674155,-28.54239256678281,0.7827788649706464,-8.295964125560541,39.98211091234348,0.9852216748768483,0.6787330316742138,23.795830337886407,-29.027777777777775,-58.89400921658986,-80.9084699453552,-62.02057998129092,-60.0,10.265556876734037
LASA,-308.03858520900326,-104.22848664688426,26.06315789473685,-155.92672413793102,-99.48830409356725,inf,-64.0877598152425,3.374233128834366,-7.749077490774911,11.807228915662634,-4.933981931897156,,73.2,-14.938030006523162,18.01512720605088,-36.73780487804877,-6.376057254391664,,-133.5795836131632,44.759206798866856,-14.467751421289934,82.22222222222221,44.99999999999999,
RECLTD,-35.60756242238182,-4.422931012956084,124.42202462380303,-5.68343209755619,-5.677979187773296,-19.935794542536115,6.730278431824543,1.7510153504571548,-22.30636375714097,1.1215109922553113,1.1231376253008836,1.8639633747547377,-6.6464792412807245,-0.5152674724283292,-12.190853943070461,0.3401971614560473,0.34011265754093334,-11.07880197731898,-1.371254443880136,0.3330153397751358,-35.84600646629146,-1.4437991979521152,-1.4440025309590412,-5.000000000000006
MERCATOR,-56.08702607582787,-2103.7593984962405,-43.224821973550355,-17.15575620767494,147.73162939297126,-42.25759768451519,16.146413972500927,-130.64516129032256,-9.501012704842577,-112.8554846198491,159.96677740863788,-12.420785804816237,52.248939179632245,-84.16636264137176,52.235459004905415,137.00137551581847,-79.6139519133085,6.191117092866768,6.092436974789919,4.101785036080524,0.9907997169143504,9.15915915915915,2.9637377963737848,-16.610549943883274
SUPREMEINF,157.08044204574657,48.466257668711656,4.16181122024305,22.91845493562231,19.68835023497403,-56.201071281417384,92.08491031759092,-8.308091735179568,-6.993187448389753,-7.73495248152059,-6.907667510937141,51.9724483406387,169.84902309058617,-37.40520043336945,-15.639150121908749,-26.058949834081584,-23.390368671723405,1.6549968173138092,-22.344827586206897,-16.413855558071088,-18.3621241202815,-8.76224398931434,-8.535011293965795,-9.504608294930875
SUPREMEIND,-12.776974951830441,-35.25061913565175,-2.0699494331276314,-42.35634260932417,-35.874655647382916,-5.217536954063896,68.19931132266561,44.97597977243995,9.643829023121478,57.235762091173136,44.37705081038083,-7.759752800309003,41.888202327920666,37.699324559571046,18.534203741291357,42.159590701014274,30.73773155671108,17.81033855114671,-7.336884154460707,-9.371450208254444,-9.137582119608016,-5.824175824175825,-3.1720057901692944,-10.50659716566216
LAOPALA,-38.10148731408574,-21.278019404483103,11.609829488465383,-16.436903499469775,-14.693877551020407,-53.17933229940412,-4.07049937054133,-15.157536190746516,2.8100025779840254,-20.287404902789525,-18.354268136375282,23.01435887137262,89.12698412698413,95.72222222222221,35.10971786833855,89.58333333333336,78.29067641681901,-3.0848579213701766,-6.458797327394217,-13.043478260869563,-48.15817984832069,7.7100115074798605,4.739109621828619,-4.5247607544365
MUKTAARTS,-151.68539325842698,-46.15384615384615,-16.350710900473935,157.81249999999994,56.55172413793104,-29.212598425196845,-656.25,225.0,23.753665689149546,-65.4054054054054,-41.29554655870446,-38.64734299516908,-95.3623188405797,-70.0,-12.787723785166241,-67.54385964912281,-61.041009463722396,12.991266375545859,-380.4878048780488,179.06976744186048,25.320512820512818,1257.1428571428573,498.1132075471697,-10.851581508515821
ITDCEM,6.631892697466473,32.86500854376306,-15.141157670454552,25.936780406112607,23.524576689133657,-19.809220985691578,50.786516853932575,-31.03312819169831,15.215056513067049,-37.482004973171044,-33.11709730621221,-27.850424409268175,-6.952430737062197,24.543378995433795,10.967339178797417,49.00546021840873,40.05235602094242,26.973492572094365,-7.673745173745174,9.441370694270924,-15.572219161016745,-0.33041788143829287,0.4952027236149693,1.119293078055968
NESTLEIND,-6.839138740183478,-7.434885556432526,-0.34119754027148963,-7.035408125232956,-6.373460067969412,19.583594907082926,35.981143571817974,30.625902112583645,-0.3675066127012176,33.93570287539936,28.862734364308206,4.226327357735451,-9.132499927149818,-8.652397260273968,7.1469651045309615,0.6410642872932614,0.09589041095889476,9.068107808494418,30.26990092244619,26.497281608075028,-0.5405711812175997,32.26218004943784,26.497281608075028,7.120591378696115
MINDAIND,-24.303448275862067,-21.540582457349647,5.662785490371689,-25.680306389840762,-22.187303582652415,18.535533470841933,9.022556390977442,19.60016488046166,10.741916286451115,10.885113991953503,9.234466186062482,-17.086442786069664,-21.875000000000007,-2.4919614147909863,-5.755883246477075,-18.506375227686696,-14.32352941176471,55.315424086930285,78.82352941176471,44.73531122745781,10.220745434407439,98.19494584837545,71.89079878665318,29.343327867572416
THEMISMED,107.81563126252503,46.80156657963445,6.787793674478477,54.41722345953972,46.80156657963445,-32.03667438134236,19.664268585131904,18.667699457784664,13.022056148936873,24.033149171270733,18.667699457784664,-4.269279931827858,1.9559902200489014,4.7889610389610375,15.5118411000764,7.41839762611276,4.7889610389610375,30.388888888888886,-57.484407484407484,-39.45945945945946,-36.755646817248454,-44.75409836065574,-39.45945945945946,-14.464930621554842
SALASAR,59.51035781544258,70.04830917874398,5.795407098121084,68.45794392523364,73.59813084112147,9.97848750620554,31.111111111111107,43.00518134715025,33.91858644598524,46.324786324786345,46.324786324786345,13.932880844645549,-15.271966527196662,-25.290322580645157,-21.090716554888804,-25.096030729833547,-25.096030729833547,inf,-28.656716417910445,-24.094025465230175,-14.809803037137284,-24.8315688161694,-24.8315688161694,
