,Mar_16_Provisions,Mar_14_Provisions,Mar_13_Sundry_Debtors,Mar_16_Total_Liabilities,Mar_16_Cash_and_Bank,Mar_15_Misc_Expenses,Mar_15_Total_Liabilities,Mar_17_Net_Current_Assessts,Mar_15_Gross_Block,Mar_14_Misc_Expenses,Mar_14_Secured_Loan,Mar_15_Total_Assests,Mar_15_Share_Capital,Mar_13_Misc_Expenses,Mar_13_Reserves_Surplus,Mar_16_Share_Capital,Mar_14_Net_Worth,Mar_16_Depreciation,Mar_16_Total_Current Liabilities,Mar_16_Investments,Mar_14_Share_Capital,Mar_17_Loans_And_Advances,Mar_15_Net_Block,Mar_13_Unsecured_Loan,Mar_17_Misc_Expenses,Mar_15_Reserves_Surplus,Mar_13_Net_Block,Mar_13_Net_Worth,Mar_15_Investments,Mar_14_Net_Current_Assessts,Mar_16_Unsecured_Loan,Mar_17_Total_Current_Assets,Mar_15_Secured_Loan,Mar_15_Total_Current Liabilities,Mar_15_Capital_Work_In_Progress,Mar_15_Current_Liabilities,Mar_16_Reserves_Surplus,Mar_13_Capital_Work_In_Progress,Mar_15_Unsecured_Loan,Mar_13_Depreciation,Mar_13_Net_Current_Assessts,Mar_16_Inventories,Mar_13_Total_Assests,Mar_14_Reserves_Surplus,Mar_14_Total_Liabilities,Mar_13_Total_Current_Assets,Mar_13_Total_Current Liabilities,Mar_13_Inventories,Mar_17_Inventories,Mar_13_Investments,Mar_15_Total_Current_Assets,Mar_15_Net_Worth,Mar_15_Net_Current_Assessts,Mar_13_Cash_and_Bank,Mar_14_Capital_Work_In_Progress,Mar_13_Share_Capital,Mar_13_Total_Liabilities,Mar_16_Misc_Expenses,Mar_17_Current_Liabilities,Mar_14_Sundry_Debtors,Mar_16_Net_Current_Assessts,Mar_13_Loans_And_Advances,Mar_15_Loans_And_Advances,Mar_16_Total_Current_Assets,Mar_14_Loans_And_Advances,Mar_16_Gross_Block,Mar_16_Current_Liabilities,Mar_17_Total_Assests,Mar_14_Total_Current_Assets,Mar_16_Secured_Loan,Mar_14_Unsecured_Loan,Mar_14_Total_Assests,Mar_13_Provisions,Mar_17_Total_Liabilities,Mar_17_Investments,Mar_17_Cash_and_Bank,Mar_14_Cash_and_Bank,Mar_13_Gross_Block,Mar_16_Capital_Work_In_Progress,Mar_17_Provisions,Mar_17_Capital_Work_In_Progress,Mar_14_Depreciation,Mar_15_Provisions,Mar_16_Loans_And_Advances,Mar_15_Inventories,Mar_17_Net_Worth,Mar_15_Cash_and_Bank,Mar_16_Sundry_Debtors,Mar_14_Inventories,Mar_16_Net_Block,Mar_17_Total_Current Liabilities,Mar_17_Gross_Block,Mar_14_Total_Current Liabilities,Mar_17_Depreciation,Mar_13_Secured_Loan,Mar_14_Net_Block,Mar_17_Secured_Loan,Mar_17_Sundry_Debtors,Mar_17_Share_Capital,Mar_17_Unsecured_Loan,Mar_16_Net_Worth,Mar_14_Current_Liabilities,Mar_15_Sundry_Debtors,Mar_13_Current_Liabilities,Mar_16_Total_Assests,Mar_17_Net_Block,Mar_17_Reserves_Surplus,Mar_15_Depreciation,Mar_14_Investments,Mar_14_Gross_Block,Mar_18_Provisions,Mar_18_Total_Current_Assets,Mar_18_Loans_And_Advances,Mar_18_Misc_Expenses,Mar_18_Gross_Block,Mar_18_Net_Worth,Mar_18_Investments,Mar_18_Current_Liabilities,Mar_18_Unsecured_Loan,Mar_18_Secured_Loan,Mar_18_Depreciation,Mar_18_Capital_Work_In_Progress,Mar_18_Sundry_Debtors,Mar_18_Net_Block,Mar_18_Total_Liabilities,Mar_18_Cash_and_Bank,Mar_18_Reserves_Surplus,Mar_18_Share_Capital,Mar_18_Inventories,Mar_18_Total_Assests,Mar_18_Total_Current Liabilities,Mar_18_Net_Current_Assessts,Dec_17_Misc_Expenses,Dec_16_Misc_Expenses,Dec_16_Capital_Work_In_Progress,Dec_16_Share_Capital,Dec_17_Gross_Block,Dec_16_Inventories,Dec_13_Loans_And_Advances,Dec_15_Net_Worth,Dec_13_Reserves_Surplus,Dec_13_Sundry_Debtors,Dec_17_Secured_Loan,Dec_14_Loans_And_Advances,Dec_17_Net_Current_Assessts,Dec_15_Total_Assests,Dec_14_Capital_Work_In_Progress,Dec_15_Misc_Expenses,Dec_17_Reserves_Surplus,Dec_17_Investments,Dec_14_Total_Liabilities,Dec_17_Unsecured_Loan,Dec_16_Total_Current Liabilities,Dec_17_Sundry_Debtors,Dec_13_Cash_and_Bank,Dec_15_Reserves_Surplus,Dec_13_Net_Block,Dec_17_Net_Block,Dec_13_Inventories,Dec_15_Capital_Work_In_Progress,Dec_17_Loans_And_Advances,Dec_13_Net_Current_Assessts,Dec_14_Total_Current Liabilities,Dec_16_Gross_Block,Dec_17_Capital_Work_In_Progress,Dec_13_Investments,Dec_15_Cash_and_Bank,Dec_14_Inventories,Dec_14_Secured_Loan,Dec_14_Net_Block,Dec_16_Net_Current_Assessts,Dec_13_Depreciation,Dec_17_Total_Liabilities,Dec_14_Net_Worth,Dec_17_Share_Capital,Dec_17_Inventories,Dec_14_Total_Assests,Dec_14_Net_Current_Assessts,Dec_16_Sundry_Debtors,Dec_13_Share_Capital,Dec_13_Total_Liabilities,Dec_16_Net_Block,Dec_14_Misc_Expenses,Dec_15_Current_Liabilities,Dec_14_Gross_Block,Dec_16_Loans_And_Advances,Dec_13_Capital_Work_In_Progress,Dec_14_Reserves_Surplus,Dec_14_Depreciation,Dec_14_Unsecured_Loan,Dec_15_Secured_Loan,Dec_13_Net_Worth,Dec_14_Cash_and_Bank,Dec_15_Unsecured_Loan,Dec_16_Current_Liabilities,Dec_17_Provisions,Dec_17_Total_Assests,Dec_15_Gross_Block,Dec_16_Unsecured_Loan,Dec_17_Net_Worth,Dec_15_Depreciation,Dec_15_Total_Current_Assets,Dec_14_Provisions,Dec_16_Investments,Dec_17_Total_Current_Assets,Dec_16_Reserves_Surplus,Dec_15_Net_Current_Assessts,Dec_15_Total_Liabilities,Dec_17_Current_Liabilities,Dec_13_Secured_Loan,Dec_14_Investments,Dec_16_Cash_and_Bank,Dec_15_Investments,Dec_15_Provisions,Dec_16_Total_Current_Assets,Dec_16_Provisions,Dec_14_Share_Capital,Dec_16_Total_Assests,Dec_13_Total_Current Liabilities,Dec_14_Total_Current_Assets,Dec_13_Current_Liabilities,Dec_14_Current_Liabilities,Dec_15_Net_Block,Dec_15_Loans_And_Advances,Dec_15_Total_Current Liabilities,Dec_14_Sundry_Debtors,Dec_13_Misc_Expenses,Dec_13_Total_Current_Assets,Dec_13_Unsecured_Loan,Dec_15_Sundry_Debtors,Dec_17_Depreciation,Dec_17_Cash_and_Bank,Dec_17_Total_Current Liabilities,Dec_15_Share_Capital,Dec_13_Total_Assests,Dec_13_Provisions,Dec_16_Total_Liabilities,Dec_15_Inventories,Dec_16_Depreciation,Dec_13_Gross_Block,Dec_16_Secured_Loan,Dec_16_Net_Worth
20MICRONS,0.68,0.57,44.95,225.47,8.59,0.0,217.24,71.82,206.84,0.0,119.88,217.24,16.91,0.0,51.45,17.64,74.41,72.25,89.54,7.38,16.91,42.59,142.81,17.37,0.0,52.77,139.42,67.28,7.38,45.56,13.07,164.41,132.47,95.15,7.09,94.27,66.37,3.44,15.09,46.34,47.08,64.15,197.31,57.5,210.58,116.92,69.84,44.32,59.17,7.38,155.1,69.67,59.96,3.97,10.73,15.83,197.31,0.0,92.23,52.56,75.59,23.68,32.66,165.13,25.11,212.31,88.86,229.2,142.08,128.39,16.29,210.58,2.06,229.2,13.38,9.43,6.58,185.76,2.45,0.36,7.06,54.53,0.88,37.74,63.17,96.72,16.66,54.66,57.83,140.05,92.59,217.05,96.52,80.11,112.66,146.9,116.0,53.22,17.64,16.48,84.02,95.95,42.62,67.78,225.47,136.94,79.08,64.04,7.38,201.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3IINFOTECH,20.62,20.61,,1166.46,21.18,0.0,1884.56,-343.95,1629.04,0.0,1353.94,1884.56,702.25,,,924.48,597.3,105.78,1334.91,1227.99,637.64,223.7,1237.77,,0.0,-1079.11,,,1432.55,-114.94,240.38,880.66,1272.48,1838.79,0.0,1817.25,-477.44,,863.44,,,0.37,,-40.34,2845.42,,,,0.0,,927.53,-251.36,-911.26,,0.0,,,0.0,1209.48,609.96,-435.69,,340.0,899.22,902.17,479.94,1314.29,1261.23,1528.63,479.04,894.18,2845.42,,1261.23,1236.89,96.55,16.5,,0.0,15.13,0.0,202.72,21.54,274.35,0.0,532.01,12.34,603.32,0.0,374.16,1224.61,480.14,1643.57,111.85,,1426.48,470.51,560.41,1495.35,258.71,447.04,1622.96,575.19,,1166.46,368.29,-963.34,265.77,1533.88,1629.2,16.92,850.64,236.98,0.0,480.78,489.79,1127.59,1213.39,262.44,361.94,114.53,0.0,580.71,366.25,1114.17,32.95,-1467.46,1957.25,0.0,1114.17,1230.31,-379.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3MINDIA,27.59,13.73,,1014.37,370.88,0.0,815.26,913.42,576.4,0.0,6.74,815.26,11.27,,,11.27,699.43,224.17,384.73,0.0,11.27,130.08,387.75,,0.0,796.45,,,0.0,389.32,0.0,1613.94,7.54,312.84,1.3,284.96,997.38,,0.0,,,290.51,,688.16,814.62,,,,331.78,,739.05,807.71,426.21,,7.02,,,0.0,621.28,265.18,663.97,,80.45,1048.7,79.32,573.36,357.14,1231.01,662.44,5.72,108.45,814.62,,1231.01,0.0,744.16,59.7,,1.21,79.24,2.43,159.97,27.88,104.58,295.57,1226.39,113.91,282.74,258.24,349.19,700.52,398.23,273.11,83.07,,418.28,4.62,407.92,11.27,0.0,1008.64,259.39,249.12,,1014.37,315.16,1215.13,188.65,0.0,578.24,83.88,1844.38,178.14,0.0,411.25,1536.67,0.0,509.93,0.0,4.88,126.02,5.75,529.64,285.22,1541.54,789.31,1525.4,11.27,347.29,1541.54,593.81,1250.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PAISA,0.24,1.62,,14.44,12.83,0.0,32.46,87.64,0.0,0.0,0.0,32.46,3.05,,,3.05,14.1,0.01,30.04,0.0,3.05,24.54,0.0,,0.0,14.58,,,0.0,14.1,2.31,108.62,0.0,2.25,0.0,0.7,9.08,,14.83,,,1.05,,11.05,14.1,,,,2.55,,34.72,17.63,32.46,,0.0,,,0.0,16.61,0.0,14.17,,3.88,44.21,4.32,0.23,29.8,88.23,15.88,0.0,0.0,14.1,,88.23,0.0,81.12,11.55,,0.05,4.38,0.13,0.0,1.55,7.24,0.0,88.23,28.07,23.09,0.01,0.22,20.99,0.72,1.78,0.24,,0.0,0.0,0.41,12.74,0.0,12.13,0.16,2.77,,14.44,0.47,75.5,0.0,0.0,0.0,5.41,127.61,94.8,0.0,2.77,62.94,2.05,47.3,0.0,16.15,0.64,0.01,0.57,2.13,79.08,28.65,50.2,12.74,3.6,79.08,52.71,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63MOONS,7.78,24.9,83.1,3275.96,115.83,0.0,3260.33,577.09,521.05,0.0,0.0,3260.33,9.22,0.0,2667.62,9.22,2409.5,110.0,162.75,2502.94,9.22,475.21,428.84,598.28,0.0,2770.73,477.0,2676.83,2361.9,1128.27,509.11,692.87,0.0,167.62,0.0,127.47,2757.64,0.0,480.38,37.91,583.04,0.0,3275.12,2400.29,2870.77,899.42,316.38,0.0,0.0,2215.08,637.21,2779.94,469.59,86.06,0.0,9.22,3275.12,0.0,106.58,67.76,387.18,730.25,510.65,549.92,1247.39,387.14,154.97,3342.53,1434.33,0.0,461.27,2870.77,35.73,3342.53,2400.63,193.25,119.19,514.91,108.71,9.2,106.76,61.49,40.15,414.07,0.0,2844.89,109.93,20.03,0.0,277.14,115.78,392.5,306.06,134.45,0.0,465.34,396.81,24.42,9.22,100.82,2766.85,281.17,16.63,280.65,3275.96,258.05,2835.68,92.22,1277.16,526.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8KMILES,0.91,0.17,4.02,66.35,3.02,0.0,46.24,15.55,11.22,0.0,2.55,46.24,21.85,0.0,11.94,16.64,22.08,0.94,8.63,47.19,10.04,8.87,10.85,0.22,0.0,24.4,0.28,21.99,18.91,2.12,0.0,27.18,0.0,1.63,0.9,1.29,46.99,10.49,0.0,0.05,-0.16,0.0,23.18,12.03,25.65,9.4,9.55,0.0,0.0,12.57,17.22,46.24,15.59,0.0,1.84,10.04,23.18,0.0,10.52,4.29,11.7,5.38,7.6,20.32,7.09,7.97,7.72,109.51,11.39,2.72,1.02,25.65,0.08,109.51,89.19,5.83,0.01,0.32,0.43,1.11,0.9,0.15,0.34,9.36,0.0,82.06,5.09,7.94,0.0,7.03,11.63,5.33,9.26,1.46,0.97,9.11,27.46,12.49,15.26,0.0,63.63,9.09,4.53,9.48,66.35,3.87,66.8,0.38,12.57,9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2ZINFRA,4.75,4.88,690.1,1541.52,7.98,0.0,1639.63,750.63,246.5,0.0,866.15,1639.63,108.72,0.0,1030.43,126.89,931.75,53.29,1082.62,298.85,96.28,581.31,207.19,0.0,0.0,710.24,90.29,1104.61,296.61,1021.66,0.0,1840.8,820.67,466.28,267.12,460.84,585.63,377.87,0.0,22.06,1017.58,18.12,1783.13,835.47,1797.9,1389.61,372.02,16.28,7.66,297.39,1334.98,818.96,868.71,12.22,402.7,74.18,1783.13,0.0,1085.49,681.92,789.56,671.01,654.77,1872.18,603.93,240.28,1077.87,1420.98,1308.05,829.0,0.0,1797.9,4.8,1420.98,298.03,51.54,8.52,112.34,266.13,4.68,208.77,28.73,5.43,834.51,11.64,604.7,2.46,1011.57,13.68,186.98,1090.17,237.66,286.39,74.11,678.52,77.6,816.28,1200.3,144.95,0.0,712.53,281.51,666.11,367.22,1541.52,163.55,459.76,39.31,295.94,106.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIDRUGS,14.7,19.71,,782.9,4.5,0.0,706.44,229.11,625.18,0.0,248.51,706.44,24.22,,,24.22,250.9,227.6,271.8,11.12,12.11,70.22,431.48,,0.0,279.49,,,11.11,207.68,121.9,541.24,389.11,260.49,13.35,238.44,326.1,,13.63,,,167.05,,238.8,593.14,,,,188.75,,510.99,303.7,250.5,,8.32,,,0.0,301.8,276.52,274.97,,46.6,546.77,56.64,690.37,257.11,803.99,464.28,310.69,93.73,593.14,,803.99,18.42,4.0,4.4,,34.04,10.33,14.13,170.51,22.05,54.03,153.36,386.97,3.43,321.19,126.73,462.77,312.13,803.53,256.6,261.21,,372.53,417.02,278.27,23.86,0.0,350.31,236.88,307.59,,782.9,542.32,363.11,193.7,4.62,543.04,17.76,705.94,84.17,0.0,860.63,433.17,17.24,381.44,0.0,482.39,297.04,27.99,363.75,563.59,915.57,3.91,409.59,23.58,254.1,915.57,399.2,306.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIIND,300.04,284.65,428.65,2287.14,24.16,0.0,1974.08,832.97,1600.76,0.0,925.07,1974.08,44.3,0.0,632.35,41.66,778.69,757.19,808.09,32.4,44.3,330.23,936.09,98.15,0.0,863.54,664.23,676.64,63.24,781.41,17.23,1445.83,1023.54,844.81,187.95,511.61,1028.44,62.01,42.7,514.16,733.56,474.24,1478.39,734.4,1719.56,1328.05,594.49,462.12,546.59,18.6,1631.6,907.84,786.8,9.71,112.61,44.3,1478.39,0.0,589.08,465.77,778.28,427.57,594.59,1586.37,545.25,1926.89,508.05,2728.03,1626.71,1199.81,15.8,1719.56,243.97,2728.03,61.7,21.64,12.35,1178.39,306.76,23.78,266.79,600.69,333.19,565.16,543.87,1310.09,26.33,522.81,603.33,1169.7,612.86,2437.92,845.3,871.35,703.6,793.29,1329.48,547.37,41.06,88.46,1070.1,560.65,466.81,350.52,2287.14,1566.57,1269.03,664.67,32.25,1393.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARVEEDEN,1.6,0.48,135.9,611.84,14.37,0.0,584.0,229.66,624.96,0.0,324.42,584.0,23.46,0.0,233.72,23.46,257.69,277.78,211.45,0.0,23.46,33.93,372.07,24.67,0.0,232.49,395.03,257.18,0.0,216.36,71.82,451.33,296.0,186.87,2.21,183.4,240.43,7.63,32.05,200.44,215.67,176.63,618.33,234.23,617.22,347.25,131.58,176.62,158.66,0.0,396.59,255.95,209.72,11.29,0.15,23.46,618.33,0.0,220.21,176.1,244.27,23.43,45.24,455.72,25.84,644.68,209.86,606.89,393.1,276.13,35.11,617.22,4.58,606.89,0.0,18.72,7.2,595.47,0.67,1.46,5.39,231.66,3.47,52.44,166.93,267.67,11.35,212.29,183.95,366.9,221.67,679.16,176.74,307.32,336.47,400.7,249.3,240.03,23.46,89.92,263.89,176.26,173.07,127.01,611.84,371.84,244.21,252.9,0.0,632.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
